Cliente,Estado,Género,Valor de vida del cliente,Ingreso,Prima mensual del auto,Tipo de póliza,Clase del vehículo,Monto total de reclamo
NP33989,Oregon,F,1236208.7659999998,0.0,113.0,Personal Auto,Four-Door Car,217.92632
CP30637,California,F,491630.3715,71153.0,122.0,Corporate Auto,Sports Car,209.019238
RW50070,Arizona,M,893527.4872,63326.0,225.0,Personal Auto,Luxury Car,1080.0
LO42325,California,F,543321.4031,29629.0,71.0,Special Auto,Four-Door Car,228.443418
YQ50209,Arizona,M,484724.253,0.0,69.0,Corporate Auto,Four-Door Car,599.152722
JP35025,California,F,571416.5863,23726.0,74.0,Corporate Auto,Four-Door Car,355.2
WZ13788,Nevada,F,1009768.7320000001,48999.0,86.0,Corporate Auto,Four-Door Car,412.8
IS21172,Oregon,F,472686.9327,13037.0,124.0,Personal Auto,SUV,839.348464
CL10476,Arizona,M,707979.0277,24245.0,63.0,Corporate Auto,Two-Door Car,302.4
WO83615,Nevada,M,539543.4909,44047.0,137.0,Corporate Auto,Sports Car,969.232217
ZJ77881,Oregon,F,945299.6411,91942.0,117.0,Personal Auto,Four-Door Car,561.6
GT37101,Oregon,F,528431.2599,37640.0,67.0,Personal Auto,Two-Door Car,174.046849
WE13528,California,F,2021539.1800000002,77058.0,63.0,Personal Auto,Four-Door Car,119.331041
BT78503,Oregon,M,251005.4168,0.0,73.0,Corporate Auto,Four-Door Car,525.6
WM19967,California,F,1988491.592,63755.0,62.0,Personal Auto,Two-Door Car,291.860708
EW13798,California,F,401445.3113,37384.0,99.0,Personal Auto,Four-Door Car,475.2
RO18530,Washington,M,254068.9797,42557.0,65.0,Personal Auto,Four-Door Car,57.562324
AY18433,Washington,F,2738281.893,45473.0,76.0,Special Auto,Two-Door Car,188.938397
CS29328,Nevada,M,487531.604,10743.0,70.0,Personal Auto,Two-Door Car,336.0
QL75176,Oregon,F,1232426.54,0.0,113.0,Personal Auto,Four-Door Car,813.6
IO25161,Arizona,F,228038.6988,0.0,61.0,Personal Auto,Four-Door Car,283.881697
FA82777,Arizona,F,416599.4433,0.0,64.0,Personal Auto,Four-Door Car,575.890362
GR49281,California,M,497480.15390000003,75644.0,65.0,Personal Auto,Two-Door Car,467.803638
ZW19492,Oregon,M,240491.79669999998,63455.0,61.0,Personal Auto,Two-Door Car,287.654819
UW88168,Oregon,M,303281.6016,73782.0,76.0,Special Auto,Four-Door Car,111.622054
XX53620,Oregon,F,289127.2351,80590.0,71.0,Corporate Auto,Four-Door Car,134.158389
IM90123,California,F,1526141.386,59797.0,127.0,Personal Auto,SUV,609.6
BE33446,Arizona,F,501500.9472,48567.0,130.0,Personal Auto,SUV,624.0
YW11227,California,M,532539.4798999999,62470.0,66.0,Personal Auto,Two-Door Car,243.766542
UF32671,Washington,F,529139.5332,57338.0,66.0,Personal Auto,Four-Door Car,316.8
ZW10467,Arizona,F,1610719.004,63288.0,199.0,Personal Auto,Luxury Car,558.433218
KK95092,Arizona,M,760563.7524,55281.0,192.0,Personal Auto,Luxury SUV,921.6
HZ43637,Arizona,F,306536.5332,22985.0,77.0,Special Auto,Four-Door Car,458.056054
FY82691,California,F,624557.5806,39608.0,78.0,Corporate Auto,Four-Door Car,22.961216
SO40738,California,F,940638.1948,99189.0,117.0,Corporate Auto,SUV,75.302707
MB83471,Oregon,M,781546.882,0.0,112.0,Personal Auto,Four-Door Car,574.102379
GA63091,California,M,974799.4010000001,0.0,92.0,Personal Auto,Four-Door Car,514.360634
AU75025,Oregon,M,468646.96739999996,58089.0,118.0,Personal Auto,SUV,566.4
XF15789,Arizona,F,886961.9887999999,81350.0,110.0,Personal Auto,SUV,228.185834
SH13204,California,F,474180.8942,0.0,65.0,Personal Auto,Two-Door Car,731.289267
FX48006,Oregon,M,2417868.478,43704.0,201.0,Personal Auto,Luxury SUV,1064.482165
HS69837,Oregon,M,795177.7533,75497.0,100.0,Personal Auto,SUV,71.773341
GL49408,California,M,676208.2924,40372.0,85.0,Corporate Auto,Four-Door Car,76.975713
PK51938,Oregon,F,304478.946,17489.0,85.0,Corporate Auto,Four-Door Car,587.689075
JE62426,Arizona,F,590816.294,86277.0,74.0,Personal Auto,Four-Door Car,212.039619
IA31850,Arizona,F,457454.7243,0.0,63.0,Personal Auto,Four-Door Car,453.6
PP50567,California,M,837749.9750999999,0.0,74.0,Corporate Auto,Four-Door Car,355.2
CS26667,Washington,M,2233243.946,49078.0,97.0,Special Auto,Four-Door Car,484.013411
UF73578,California,M,583889.915,81082.0,73.0,Personal Auto,Four-Door Car,281.295903
MY23958,California,M,757706.5297,0.0,116.0,Personal Auto,Sports Car,835.2
OP75571,Arizona,F,801284.1201000001,40635.0,102.0,Personal Auto,SUV,489.6
SI60881,Oregon,F,921797.8125,26351.0,119.0,Personal Auto,SUV,571.2
DQ15807,Oregon,M,274918.9304,0.0,80.0,Personal Auto,Four-Door Car,824.487259
WU15684,Nevada,F,358887.609,42836.0,89.0,Corporate Auto,Four-Door Car,244.580023
KR17533,Oregon,M,395453.8361,40175.0,102.0,Personal Auto,SUV,154.721555
IM98086,California,M,323057.6665,62873.0,81.0,Personal Auto,Four-Door Car,207.75186
XY48850,Nevada,F,515864.8497,0.0,74.0,Personal Auto,Two-Door Car,588.936956
YT25875,California,F,277658.29010000004,50985.0,71.0,Personal Auto,Two-Door Car,307.68931
TL59568,Arizona,M,1283600.951,0.0,116.0,Personal Auto,Two-Door Car,835.2
UE52886,Arizona,M,2842157.0220000003,42803.0,245.0,Personal Auto,Luxury Car,889.288242
TM28833,Oregon,M,227639.29360000003,0.0,69.0,Personal Auto,Two-Door Car,624.980751
SQ60915,Arizona,M,389596.1837,35970.0,98.0,Corporate Auto,Four-Door Car,470.4
GU42084,Arizona,M,424768.3347,44537.0,106.0,Corporate Auto,Sports Car,441.907057
ZH93283,Arizona,M,600584.7375,13528.0,86.0,Personal Auto,Four-Door Car,412.8
WF51811,Arizona,F,271950.6996,14030.0,72.0,Personal Auto,Two-Door Car,345.6
RL51023,Arizona,M,418575.72419999994,0.0,64.0,Corporate Auto,Four-Door Car,492.644465
NQ67659,Nevada,F,3347334.9459999995,33190.0,106.0,Personal Auto,SUV,508.8
KI45566,Nevada,M,733150.8054,0.0,100.0,Personal Auto,Sports Car,61.580247
WB68229,Arizona,F,932028.4812,21033.0,118.0,Personal Auto,Two-Door Car,738.975495
UF84144,Washington,M,331232.3945,26285.0,84.0,Corporate Auto,Four-Door Car,403.2
ZH28312,California,F,556027.8162,0.0,74.0,Corporate Auto,Four-Door Car,65.953005
GK48045,Washington,F,821460.2384,73245.0,68.0,Personal Auto,Four-Door Car,305.121363
HZ67642,California,M,864713.9151999999,0.0,119.0,Personal Auto,SUV,244.816163
HE12295,California,M,444673.8622,0.0,61.0,Personal Auto,Four-Door Car,616.279356
XL66550,Oregon,M,776984.1954000001,74365.0,193.0,Corporate Auto,Luxury Car,926.4
AL27471,Oregon,M,391111.8202,30821.0,97.0,Personal Auto,Four-Door Car,451.319227
NG94479,Arizona,F,273152.0409,69844.0,68.0,Corporate Auto,Four-Door Car,184.379697
WR58220,Oregon,M,840178.8653,0.0,124.0,Personal Auto,SUV,595.2
RT64920,Oregon,M,587503.8074,55836.0,73.0,Personal Auto,Four-Door Car,314.936185
IR58695,Oregon,M,618837.9423,40352.0,77.0,Corporate Auto,Four-Door Car,406.367233
AS93181,Arizona,F,450657.7736,14985.0,116.0,Personal Auto,Sports Car,571.319514
ML23548,Arizona,F,1054853.703,27458.0,131.0,Personal Auto,Sports Car,730.373515
PU71194,Oregon,F,3520357.475,56343.0,295.0,Personal Auto,Luxury Car,1612.962321
QT46430,California,F,819375.0001000001,12780.0,111.0,Personal Auto,Sports Car,225.437098
WP83694,California,F,531343.6344,68558.0,131.0,Personal Auto,SUV,280.903779
UE19977,California,F,437977.0178,47747.0,111.0,Personal Auto,Two-Door Car,165.588524
WC83942,Oregon,M,2088555.547,16113.0,81.0,Corporate Auto,Four-Door Car,494.890996
HZ62410,Oregon,M,277196.3072,0.0,79.0,Personal Auto,Four-Door Car,379.2
CE72177,California,F,546154.8993,39626.0,69.0,Personal Auto,Four-Door Car,485.705851
YI89801,California,F,257023.5172,49304.0,65.0,Corporate Auto,Four-Door Car,312.0
KB53430,Oregon,M,222707.27550000002,27972.0,61.0,Personal Auto,Four-Door Car,292.8
KB50999,California,F,539400.0979,27568.0,68.0,Personal Auto,Two-Door Car,278.689331
JO17193,Washington,M,230069.15469999998,25905.0,63.0,Personal Auto,Four-Door Car,302.4
BO42776,Washington,M,2536010.4039999996,21442.0,108.0,Corporate Auto,SUV,518.4
OZ19432,Nevada,F,437403.8985,34516.0,113.0,Special Auto,Four-Door Car,42.950852
VT34834,Nevada,M,495335.8432,0.0,68.0,Personal Auto,Four-Door Car,342.468248
MI65698,Oregon,F,459081.1214,28354.0,118.0,Personal Auto,Two-Door Car,320.327775
IG85969,Arizona,F,506237.37899999996,0.0,72.0,Personal Auto,Two-Door Car,345.6
SE72928,California,M,907576.8214,37722.0,116.0,Personal Auto,Sports Car,158.077504
QV47358,Arizona,F,813315.7212,32021.0,70.0,Personal Auto,Four-Door Car,336.0
HR50405,Oregon,F,286930.13190000004,13393.0,73.0,Personal Auto,Four-Door Car,34.708194
MN53151,Oregon,M,2793775.093,13624.0,117.0,Personal Auto,Sports Car,561.6
VD64777,Nevada,F,260618.63210000002,27800.0,67.0,Personal Auto,Two-Door Car,321.6
EG21289,California,F,776427.3102000001,58419.0,191.0,Personal Auto,Luxury Car,202.468807
YI85251,Nevada,M,1838039.026,50407.0,92.0,Personal Auto,Four-Door Car,352.060768
RD61361,Arizona,F,610295.3572000001,0.0,84.0,Personal Auto,Four-Door Car,856.347474
PG26401,Washington,M,919167.2825,77603.0,114.0,Personal Auto,SUV,547.2
NV91476,California,F,958128.1433,75606.0,119.0,Personal Auto,Four-Door Car,571.2
SJ16410,Arizona,M,753226.2392,41458.0,98.0,Personal Auto,Four-Door Car,191.100227
BI17208,Oregon,M,279532.13529999997,0.0,74.0,Personal Auto,Two-Door Car,420.765993
WR70403,Washington,M,567384.0992,0.0,82.0,Personal Auto,Two-Door Car,445.001296
ZZ22858,Arizona,F,1501618.511,70619.0,187.0,Personal Auto,Luxury Car,293.948632
EZ75048,California,M,308724.9746,41273.0,77.0,Personal Auto,Four-Door Car,221.226696
CN31328,Arizona,F,548070.1059,46946.0,70.0,Personal Auto,Four-Door Car,336.0
ZP91150,Oregon,M,794497.3807,0.0,113.0,Corporate Auto,Four-Door Car,542.4
LC77957,Oregon,M,854324.7322999999,99180.0,106.0,Personal Auto,SUV,33.751887
PT34656,California,F,538089.8636,55350.0,67.0,Personal Auto,Four-Door Car,321.6
MI99404,California,M,465006.3763,28215.0,65.0,Personal Auto,Two-Door Car,468.0
AI58313,Nevada,F,3694606.3929999997,75425.0,116.0,Personal Auto,Sports Car,663.643801
VA60020,Nevada,F,331455.133,63583.0,83.0,Special Auto,Four-Door Car,167.39959
TW53467,California,M,456637.72609999997,0.0,66.0,Personal Auto,Four-Door Car,475.2
IC11062,Nevada,F,559712.496,37995.0,139.0,Personal Auto,SUV,667.2
OO11531,Nevada,F,254055.14560000002,37125.0,63.0,Personal Auto,Four-Door Car,290.911693
JV80614,California,M,293933.0187,53357.0,73.0,Personal Auto,Four-Door Car,55.320014
IC70693,California,F,1606834.838,70140.0,199.0,Corporate Auto,Luxury Car,955.2
JY45326,Oregon,M,736087.3696,52380.0,186.0,Personal Auto,Luxury SUV,892.8
QW17940,California,M,270098.58989999996,79292.0,67.0,Corporate Auto,Four-Door Car,55.394702
AV25133,Oregon,F,309570.5571,0.0,92.0,Personal Auto,Two-Door Car,774.892461
QJ57215,Nevada,F,438375.14819999994,0.0,123.0,Personal Auto,SUV,1480.336748
IG94072,Oregon,F,992887.4825,75425.0,123.0,Personal Auto,Sports Car,823.798803
WC28543,Arizona,M,239917.81500000003,20992.0,64.0,Personal Auto,Two-Door Car,307.2
DH13219,Washington,M,340277.7293,57428.0,85.0,Corporate Auto,Four-Door Car,414.649796
ET80689,California,M,871130.2422000001,92606.0,109.0,Special Auto,SUV,287.437831
JD10245,California,M,435876.2008,86001.0,109.0,Personal Auto,SUV,523.2
XO96556,Arizona,M,255122.6692,79751.0,63.0,Personal Auto,Two-Door Car,392.235698
UJ61336,Arizona,F,564274.7998,68654.0,71.0,Personal Auto,Four-Door Car,208.048487
XS94482,Arizona,F,415166.7368,0.0,61.0,Personal Auto,Two-Door Car,208.892861
QX57337,Oregon,F,284202.5913,92629.0,72.0,Personal Auto,Four-Door Car,60.845685
CZ35936,California,F,879144.4942,54094.0,112.0,Corporate Auto,SUV,502.994931
IM41800,Nevada,M,826827.2933,95419.0,70.0,Personal Auto,Four-Door Car,336.0
GI70742,Oregon,F,858163.7267,66466.0,71.0,Personal Auto,Four-Door Car,293.016168
HQ32112,Arizona,M,524440.475,68131.0,130.0,Personal Auto,SUV,226.607648
CC85895,Nevada,F,850901.9846,56481.0,106.0,Personal Auto,SUV,273.250112
CF40646,California,M,474361.5503,70082.0,119.0,Personal Auto,SUV,571.2
RF39856,Nevada,M,2275466.137,51437.0,115.0,Corporate Auto,SUV,244.086665
VT85216,Nevada,M,533501.5944,0.0,73.0,Personal Auto,Four-Door Car,525.6
SW69117,Oregon,M,696631.9103,27972.0,90.0,Corporate Auto,Two-Door Car,240.318607
EI58852,Arizona,F,2120537.785,24930.0,76.0,Personal Auto,Four-Door Car,364.8
FN61865,Nevada,F,427120.0049,26245.0,110.0,Personal Auto,Two-Door Car,44.284642
LI11560,California,F,558081.8465999999,57883.0,69.0,Personal Auto,Four-Door Car,431.847824
NY12562,Nevada,F,222408.96389999997,0.0,64.0,Corporate Auto,Four-Door Car,483.25721
GE46404,Oregon,F,270953.9796,58828.0,68.0,Personal Auto,Four-Door Car,446.751243
PP26786,Arizona,M,289033.8106,51906.0,73.0,Corporate Auto,Four-Door Car,374.864662
BE55425,Oregon,M,640357.7368000001,28095.0,82.0,Personal Auto,Four-Door Car,393.6
SH75038,California,F,598138.1645000001,88723.0,74.0,Personal Auto,Two-Door Car,355.2
LD22387,California,F,622502.2265999999,53078.0,79.0,Corporate Auto,Four-Door Car,200.97608
FF94034,California,F,849635.8981,88895.0,106.0,Personal Auto,Sports Car,209.863509
YK16362,Arizona,F,1021399.111,60078.0,127.0,Corporate Auto,SUV,140.819942
DN10177,California,M,454716.2694,0.0,67.0,Personal Auto,Two-Door Car,321.6
IV35546,Nevada,F,574169.6078,45820.0,71.0,Corporate Auto,Four-Door Car,249.742856
SK12432,Arizona,M,238835.3882,0.0,73.0,Personal Auto,Four-Door Car,677.970934
DF71709,California,M,1262496.121,12439.0,115.0,Corporate Auto,Two-Door Car,552.0
UT61518,California,M,838247.8392,25998.0,71.0,Personal Auto,Four-Door Car,791.878042
PU75847,Arizona,M,496466.6365,98451.0,62.0,Personal Auto,Four-Door Car,316.546868
XA47378,California,F,287143.7451,23803.0,72.0,Corporate Auto,Two-Door Car,410.548521
NE22677,California,M,1308078.528,0.0,124.0,Special Auto,SUV,595.2
HV62406,Oregon,F,248241.1991,26100.0,67.0,Personal Auto,Four-Door Car,482.4
VS20668,Nevada,F,272683.4065,0.0,73.0,Personal Auto,Four-Door Car,376.923839
YZ79232,Oregon,M,477618.6527,0.0,67.0,Personal Auto,Four-Door Car,315.215329
ND87457,Nevada,M,609189.923,65252.0,78.0,Personal Auto,Four-Door Car,482.48791
TY59231,California,F,501500.9472,48567.0,130.0,Personal Auto,SUV,624.0
DA54619,Oregon,F,903567.1134,34337.0,113.0,Personal Auto,Four-Door Car,542.4
OL27257,Nevada,F,438188.0534,20394.0,115.0,Personal Auto,Two-Door Car,508.614758
TH86528,Washington,F,577551.7825,0.0,76.0,Personal Auto,Two-Door Car,784.611446
DS34823,Arizona,F,425028.26240000007,0.0,61.0,Personal Auto,Four-Door Car,292.8
HB24005,California,M,234704.8112,31617.0,62.0,Personal Auto,Four-Door Car,244.269407
ZV96574,California,F,694006.9184,0.0,62.0,Corporate Auto,Four-Door Car,297.6
JC80093,Washington,M,257250.6605,21104.0,66.0,Personal Auto,Four-Door Car,118.454974
KN24990,Arizona,M,4149174.4809999997,37748.0,181.0,Personal Auto,Luxury Car,868.8
RR39751,California,F,357134.6578,0.0,96.0,Personal Auto,Four-Door Car,438.661509
BN80677,Oregon,M,1273421.253,25023.0,82.0,Corporate Auto,Two-Door Car,397.139856
WL74893,Oregon,F,452911.2790999999,0.0,62.0,Special Auto,Four-Door Car,271.164139
ZN59196,Oregon,F,417787.6779,14108.0,109.0,Personal Auto,Four-Door Car,523.2
PF77449,Washington,F,982474.5841,23923.0,82.0,Personal Auto,Four-Door Car,393.6
HO38996,Oregon,M,243080.16469999996,0.0,67.0,Special Auto,Four-Door Car,321.6
YU86361,Washington,F,1916098.994,22705.0,239.0,Personal Auto,Luxury SUV,1294.700423
PJ13204,California,F,330151.8961,0.0,89.0,Corporate Auto,Two-Door Car,427.2
SP63623,Oregon,M,469209.8956,0.0,69.0,Personal Auto,Four-Door Car,506.92275
DP33625,Arizona,M,809287.696,50825.0,102.0,Personal Auto,SUV,369.614729
BJ18904,Arizona,M,396453.4974,14616.0,106.0,Personal Auto,SUV,575.260213
TR26615,Oregon,M,249753.15089999998,0.0,69.0,Corporate Auto,Two-Door Car,272.381465
ZD44648,Arizona,M,965621.2573,29504.0,125.0,Personal Auto,SUV,1224.56345
QW60568,California,M,888814.3979,58789.0,111.0,Corporate Auto,Four-Door Car,215.438825
XS78545,Oregon,F,734741.0517000001,29491.0,61.0,Personal Auto,Four-Door Car,292.8
EU19773,Arizona,F,857836.4528,78077.0,107.0,Personal Auto,Four-Door Car,438.069458
ZL45417,California,F,346732.3976,0.0,96.0,Personal Auto,Two-Door Car,799.251165
JS58659,Nevada,M,890146.8511999999,76558.0,74.0,Special Auto,Four-Door Car,216.980413
XK84089,California,M,261933.7376,78618.0,66.0,Personal Auto,Two-Door Car,225.578841
LH91968,Oregon,M,883808.5637,82664.0,114.0,Corporate Auto,SUV,133.425609
NX63627,Oregon,M,1012777.087,23053.0,132.0,Personal Auto,Sports Car,780.941649
ND62955,Nevada,M,463345.2912,50250.0,117.0,Personal Auto,SUV,561.6
YQ11786,Oregon,M,779600.0083,32169.0,199.0,Personal Auto,Luxury SUV,785.82348
TM13955,Washington,M,299302.4583,0.0,80.0,Corporate Auto,Four-Door Car,286.115778
IA91291,Arizona,F,798547.2561,99069.0,66.0,Corporate Auto,Four-Door Car,77.442722
RO89785,Oregon,M,350856.9533,20978.0,98.0,Personal Auto,Four-Door Car,1176.2788
QW40898,Arizona,F,272221.07070000004,17576.0,71.0,Personal Auto,Four-Door Car,398.502948
ZD40816,Nevada,M,278358.3044,42297.0,71.0,Personal Auto,Four-Door Car,200.38673
PD82395,Arizona,F,864999.7286,0.0,115.0,Special Auto,Four-Door Car,824.597262
NW23827,California,F,465291.278,0.0,63.0,Personal Auto,Four-Door Car,151.231247
GG61186,Nevada,F,839580.6331,0.0,110.0,Personal Auto,Four-Door Car,161.092415
TB31268,Arizona,F,880453.7109999999,48990.0,74.0,Personal Auto,Four-Door Car,355.2
SX98462,Oregon,M,715533.7765,16916.0,64.0,Personal Auto,Four-Door Car,377.512951
OL82456,Oregon,M,395434.4534,18375.0,103.0,Personal Auto,Sports Car,535.080276
DN14211,Oregon,M,1503290.03,17150.0,65.0,Personal Auto,Two-Door Car,689.800891
ZG12619,Washington,F,825766.6512,23815.0,73.0,Personal Auto,Four-Door Car,424.330166
VH31071,Arizona,F,925691.8609,21947.0,118.0,Personal Auto,SUV,566.4
SP36555,Arizona,M,650775.1779,0.0,97.0,Personal Auto,Four-Door Car,863.219668
ME83611,Nevada,F,253070.51369999998,89451.0,63.0,Personal Auto,Four-Door Car,61.769564
PH85036,Washington,F,548254.9358999999,79325.0,68.0,Corporate Auto,Four-Door Car,251.294821
PE54870,Oregon,M,405050.6193,88454.0,101.0,Personal Auto,SUV,308.749796
DT52189,California,F,632667.9236,0.0,87.0,Personal Auto,Four-Door Car,417.6
XN48526,California,F,262776.229,20943.0,69.0,Personal Auto,Four-Door Car,240.00056
KW52227,California,M,781460.4545,51972.0,66.0,Personal Auto,Four-Door Car,316.8
JC98569,Oregon,F,631457.9645,54408.0,79.0,Personal Auto,Four-Door Car,288.329793
BG48083,Nevada,F,638627.8164,23751.0,82.0,Personal Auto,Two-Door Car,586.921708
PD19551,California,F,253796.92530000003,37612.0,64.0,Personal Auto,Four-Door Car,307.2
BJ13380,Oregon,F,533537.5586,91603.0,69.0,Personal Auto,Four-Door Car,472.67262
HY25004,Arizona,F,454907.92209999997,0.0,62.0,Personal Auto,Two-Door Car,639.758314
WF50693,Oregon,M,483621.886,16450.0,128.0,Corporate Auto,SUV,871.484565
MA45099,Oregon,M,647880.1192,50864.0,83.0,Corporate Auto,Four-Door Car,158.362972
ZC69696,Arizona,F,3544014.262,74560.0,110.0,Personal Auto,SUV,528.0
VO43359,California,M,240438.0963,62488.0,62.0,Personal Auto,Four-Door Car,200.689331
OM63954,California,F,926456.5015,55837.0,117.0,Personal Auto,Two-Door Car,741.867506
GV71044,Oregon,F,243302.46310000002,0.0,66.0,Personal Auto,Two-Door Car,475.2
TM79451,California,F,536708.9817,97742.0,67.0,Personal Auto,Four-Door Car,67.648392
PA84292,Oregon,F,245236.08920000002,0.0,69.0,Personal Auto,Four-Door Car,496.8
QX67584,Nevada,F,864650.4108999999,64125.0,108.0,Personal Auto,SUV,369.818708
JK90180,Arizona,M,434008.6445,0.0,62.0,Personal Auto,Four-Door Car,446.4
BH35482,Washington,M,493094.9334,70412.0,61.0,Corporate Auto,Two-Door Car,136.291083
VU84949,Washington,F,529263.2491,0.0,70.0,Personal Auto,Two-Door Car,336.0
SF46129,California,M,898661.0653,66267.0,111.0,Personal Auto,Four-Door Car,1093.708851
OH35544,Nevada,F,561996.7791,0.0,82.0,Corporate Auto,Four-Door Car,863.935307
ZF82387,Oregon,M,1034045.566,40882.0,89.0,Corporate Auto,Two-Door Car,393.637436
MD40054,Oregon,M,636926.2355,34498.0,83.0,Personal Auto,Two-Door Car,398.4
LE96510,Oregon,F,276759.49,0.0,74.0,Personal Auto,Four-Door Car,355.2
MC11907,California,F,483142.1687,23228.0,64.0,Corporate Auto,Four-Door Car,307.2
DA57177,Oregon,F,428294.79709999997,40864.0,109.0,Personal Auto,SUV,166.937747
SU77646,Oregon,M,571827.6608,46133.0,73.0,Personal Auto,Four-Door Car,19.626306
YZ19736,Arizona,M,258084.9899,46900.0,66.0,Personal Auto,Four-Door Car,316.8
JZ69749,Washington,F,648138.2268000001,0.0,92.0,Personal Auto,Four-Door Car,441.6
BJ22117,Washington,M,513341.4764,53390.0,64.0,Personal Auto,Four-Door Car,278.999409
UQ60825,California,F,936963.9891000001,99185.0,115.0,Corporate Auto,SUV,449.428182
ZZ89380,Oregon,F,319657.8455,62815.0,80.0,Special Auto,Two-Door Car,47.061469
LU87443,Oregon,F,472060.8872,26277.0,61.0,Personal Auto,Four-Door Car,292.8
DG33206,Washington,F,886190.0438999999,41854.0,110.0,Personal Auto,Four-Door Car,481.269644
AB98823,Arizona,M,603273.7631,0.0,86.0,Personal Auto,Two-Door Car,412.8
MS34991,Arizona,M,683236.853,66627.0,85.0,Personal Auto,Four-Door Car,733.21126
EE53627,Oregon,M,224209.0803,12131.0,64.0,Personal Auto,Four-Door Car,251.44949
XY39691,Arizona,F,415769.8118,0.0,110.0,Personal Auto,SUV,528.0
ZU96776,California,M,618912.2455,0.0,90.0,Personal Auto,Two-Door Car,648.0
FF84784,California,M,564372.4704,33317.0,72.0,Personal Auto,Two-Door Car,345.6
QT90140,Arizona,F,533246.2694,68931.0,66.0,Personal Auto,Four-Door Car,309.577946
TO71844,Oregon,M,212131.3061,0.0,67.0,Personal Auto,Four-Door Car,321.6
HV69023,California,F,828174.0124,19189.0,108.0,Personal Auto,SUV,518.4
RE32481,California,F,783592.9299,49390.0,195.0,Personal Auto,Luxury Car,738.05105
CA79988,Oregon,M,255291.3868,33124.0,67.0,Personal Auto,Four-Door Car,80.119997
DO48071,California,F,279541.0029,40516.0,70.0,Personal Auto,Two-Door Car,137.168874
MW48891,Washington,F,800739.9376000001,0.0,112.0,Personal Auto,Sports Car,537.6
JC37277,Oregon,M,688632.4494,34615.0,87.0,Personal Auto,Four-Door Car,417.6
YU80673,California,F,510678.15469999996,29894.0,72.0,Personal Auto,Four-Door Car,16.510134
BV69462,Oregon,F,561237.5586,0.0,79.0,Corporate Auto,Two-Door Car,379.2
DW86238,Washington,M,565891.2313,0.0,84.0,Personal Auto,Four-Door Car,847.490817
BQ51616,Oregon,F,726359.9744000001,86732.0,180.0,Personal Auto,Luxury SUV,204.373113
XX89213,Nevada,F,871215.7741,68516.0,216.0,Corporate Auto,Luxury SUV,95.693949
JC96695,California,M,919868.5111000001,31562.0,115.0,Personal Auto,SUV,552.0
RN55306,Oregon,F,516237.0678,0.0,74.0,Personal Auto,Four-Door Car,582.420512
WH36609,Arizona,F,628994.6999,24477.0,79.0,Personal Auto,Four-Door Car,379.2
UO43395,Oregon,M,364970.8655,0.0,100.0,Personal Auto,SUV,480.0
DS32060,California,M,676655.8551,20046.0,87.0,Personal Auto,Two-Door Car,417.6
LK51056,Arizona,M,463101.1293,78152.0,114.0,Corporate Auto,SUV,547.2
PX71218,Arizona,M,681052.531,0.0,65.0,Personal Auto,Four-Door Car,733.522405
NS19456,Oregon,F,937863.4228000001,36067.0,117.0,Personal Auto,Sports Car,561.6
MR60878,Oregon,F,1576253.1979999999,44362.0,66.0,Corporate Auto,Four-Door Car,142.113373
MB32944,Nevada,M,263550.5781,77350.0,66.0,Personal Auto,Four-Door Car,316.8
FE70473,Oregon,F,574172.743,86641.0,71.0,Personal Auto,Two-Door Car,161.752532
XB64251,Oregon,M,841494.2854999999,72258.0,105.0,Personal Auto,SUV,12.497538
WI38796,Oregon,M,912391.1266,70737.0,114.0,Corporate Auto,SUV,741.655597
KS12294,California,M,1599400.8,0.0,159.0,Personal Auto,SUV,1410.16929
US89453,California,M,902208.3130000001,0.0,125.0,Personal Auto,SUV,988.535078
XK39439,California,M,475966.4624,0.0,81.0,Personal Auto,Four-Door Car,388.8
VJ71087,Arizona,M,399388.2994,17672.0,110.0,Personal Auto,SUV,792.0
FM54600,Washington,F,1885373.945,0.0,173.0,Corporate Auto,SUV,1245.6
UV43859,Oregon,F,884019.3762,47297.0,115.0,Personal Auto,SUV,796.130111
JP28293,California,F,669690.3521,57240.0,83.0,Corporate Auto,Four-Door Car,83.652384
UV48189,California,M,847608.2866999999,28181.0,109.0,Personal Auto,SUV,523.2
ZA34848,Arizona,F,520574.81879999995,31275.0,66.0,Personal Auto,Two-Door Car,316.8
FA57012,California,M,614196.1623,0.0,182.0,Special Auto,Luxury Car,1310.4
GU82757,California,F,437636.35919999995,63774.0,111.0,Corporate Auto,Four-Door Car,60.036683
KW12214,Oregon,M,1237502.163,78441.0,103.0,Personal Auto,SUV,613.866905
EG97649,Oregon,F,345110.244,0.0,104.0,Personal Auto,SUV,499.2
YB42706,Nevada,M,810726.533,0.0,76.0,Corporate Auto,Two-Door Car,364.8
WV74449,Washington,F,866204.8957999999,0.0,117.0,Personal Auto,SUV,511.422666
AZ77669,Oregon,M,869690.7111000001,91423.0,109.0,Personal Auto,SUV,435.796252
FM25704,Oregon,M,253526.6473,86933.0,63.0,Corporate Auto,Two-Door Car,269.563038
UR34922,California,M,563374.1543,65255.0,72.0,Personal Auto,Four-Door Car,321.457124
RA17555,Oregon,M,517673.00720000005,41533.0,65.0,Corporate Auto,Four-Door Car,232.879766
AW71157,California,M,553172.3723,50097.0,71.0,Personal Auto,Four-Door Car,17.484679
